identificador,CCID,Data / Entrega,Requisição,Cliente,Local de Entrega,Modelo,SLA de Inserção,SLA de Viagem,SLA de retirada,SLA / Envio ao Brasil,SLA da Operação,Data / Inserção,Data / Chegada no Destino,Data / Retirada,Data / Envio ao Brasil,Data / Brasil,BL,Container,Status / Operação,Reposição,Observação,latitude,longitude
791279,,2024-10-17,,Volcafe,Varginha/MG,Tetis Dry,0.0,68,1,,,2024-10-17,2024-12-24,2024-12-25,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791280,,2024-09-11,,Nkg,Varginha/MG,Tetis Dry,0.0,97,1,,,2024-09-11,2024-12-17,2024-12-18,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791281,,2024-12-02,,Nkg,Varginha/MG,Tetis Dry,9.0,,,,,2024-12-11,,,,,,,Em viagem,Dentro do Prazo,,,
791284,,2024-11-26,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,,,,,2024-11-26,,,,,,,Em viagem,Dentro do Prazo,,,
791285,,2024-06-06,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,60,109,12.0,211.0,2024-06-06,2024-08-05,2024-11-22,2024-12-04,2025-01-03,,,Reversa finalizada,Fora do Prazo,,,
791287,,2024-11-05,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-11-05,,,,,,,Em viagem,Fora do Prazo,,,
791288,,2024-10-07,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,56,3,,,2024-10-07,2024-12-02,2024-12-05,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791290,,2024-10-04,,Nkg,Varginha/MG,Tetis Dry,0.0,49,12,,,2024-10-04,2024-11-22,2024-12-04,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791291,,2024-10-10,,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-10-10,,,,,,,Em viagem,Fora do Prazo,,,
791297,,2024-06-11,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,56,106,8.0,192.0,2024-06-11,2024-08-06,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791298,,2024-10-14,,CarmoCoffee,Tres Coraçoes/MG,Tetis Dry,0.0,65,373,-336.0,,2024-10-14,2024-12-18,2025-12-26,2025-01-24,,,,Em reversa para o Brasil,Fora do Prazo,,,
791299,,2024-05-29,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,72,18,,,2024-05-29,2024-08-09,2024-08-27,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791300,,2024-10-09,,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,0.0,41,1,8.0,72.0,2024-10-09,2024-11-19,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791302,,2024-11-13,,CarmoCoffee,Tres Coraçoes/MG,Tetis Dry,0.0,36,1,,,2024-11-13,2024-12-19,2024-12-20,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791305,,2024-08-29,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,74,0,,,2024-08-29,2024-11-11,2024-11-11,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
